ticker,name,bucket,decision_priority,entry_bias,buy_zone_low,buy_zone_high,stop_loss,add_rule,trim_rule,decision_reason
2374.TW,佳能,low_price_health,14.0,等拉回,74.67,77.64,69.39,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質觀察、Q/V=3/0
6525.TW,捷敏-KY,low_price_health,14.0,等拉回,100.45,105.15,85.32,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質價值優先、Q/V=4/2
2312.TW,金寶,low_price_health,12.5,等拉回,26.53,27.71,23.72,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=資料/品質不足、Q/V=2/1
4966.TWO,譜瑞-KY,quality_value_research,12.0,等拉回,581.97,614.66,525.2,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=可研究但需確認、Q/V=3/2
2388.TW,威盛,low_price_health,10.5,等拉回,71.03,72.08,57.37,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質觀察、Q/V=3/1
3057.TW,喬鼎,low_price_health,10.5,研究試單,20.46,21.5,18.96,第一筆 1/3；突破前高且未爆量再加 1/3,跌破停損或出現 SURGE+爆量失衡先減,technical=優先研究、fundamental=資料/品質不足、Q/V=1/1
2313.TW,華通,quality_value_research,9.0,暫不急,251.55,243.0,224.07,只追蹤，不主動建立部位,訊號改善前不處理,technical=暫不急、fundamental=品質佳但估值要等、Q/V=4/0
3044.TW,健鼎,quality_value_research,8.0,等拉回,456.28,483.09,395.48,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=品質佳但估值要等、Q/V=5/0
2399.TW,映泰,low_price_health,7.0,等拉回,39.93,41.68,31.35,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=資料/品質不足、Q/V=2/0
2617.TW,台航,quality_value_research,5.0,等轉強,29.95,30.18,29.25,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
3168.TW,眾福科,quality_value_research,5.0,等轉強,44.85,45.44,42.12,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
5225.TW,東科-KY,quality_value_research,5.0,等轉強,77.21,77.92,75.07,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0、PULLBACK
6201.TW,亞弘電,quality_value_research,5.0,等轉強,50.69,51.1,49.46,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
6486.TWO,互動,quality_value_research,5.0,等轉強,86.64,87.53,83.96,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
3679.TW,新至陞,quality_value_research,4.0,等轉強,120.42,121.51,117.16,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
2340.TW,台亞,low_price_health,3.5,等拉回,36.25,38.72,29.77,回到買區後若守住 MA20，第二天轉強再加,跌破買區下緣或放量轉弱先撤,technical=等拉回確認、fundamental=資料/品質不足、Q/V=1/1
2347.TW,聯強,quality_value_research,3.0,等轉強,82.7,83.84,76.07,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
6510.TWO,精測,quality_value_research,3.0,等轉強,3693.25,3841.57,3248.29,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
2345.TW,智邦,quality_value_research,2.0,等轉強,2179.5,2257.52,1695.83,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=資料/品質不足、Q/V=1/0
2383.TW,台光電,quality_value_research,1.0,等轉強,4226.25,4364.39,3060.67,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=品質觀察、Q/V=3/0
4967.TW,十銓,quality_value_research,-5.0,等轉強,257.52,267.84,226.56,收盤站回 MA20 且量能回到 0.8–1.4 倍，再開第一筆,未站回 MA20 前不加碼；跌破停損直接退出觀察單,technical=觀察轉強、fundamental=nan、Q/V=0/0
3088.TWO,艾訊,quality_value_research,-12.0,等待降溫,103.34,108.5,97.07,不追高；等量縮回 MA20 附近後，再看站回 5 日高點,若已持有，急拉或跌破前一日低點先降風險,technical=過熱先等、fundamental=nan、Q/V=0/0
